2025-07-09 16:41:42 - INFO - [logging_config.py:44] - 日志文件已创建: D:\workspace\CFLPV2\logs\20250709_164142.log
2025-07-09 16:41:42 - INFO - [main.py:121] - 实验模式: Federated
2025-07-09 16:41:42 - INFO - [main.py:125] - 模型初始化完成: MLP
2025-07-09 16:41:43 - INFO - [main.py:138] - 加载联邦学习客户端数据
2025-07-09 16:41:43 - INFO - [main.py:113] - 开始训练 MLP 模型
2025-07-09 16:42:53 - INFO - [federated_trainer.py:65] - [Federated][Round 37/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.155
2025-07-09 16:42:54 - INFO - [federated_trainer.py:65] - [Federated][Round 38/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.159
2025-07-09 16:42:56 - INFO - [federated_trainer.py:65] - [Federated][Round 39/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.155
2025-07-09 16:42:58 - INFO - [federated_trainer.py:65] - [Federated][Round 40/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.164
2025-07-09 16:43:00 - INFO - [federated_trainer.py:65] - [Federated][Round 41/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.146
2025-07-09 16:43:02 - INFO - [federated_trainer.py:65] - [Federated][Round 42/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.168
2025-07-09 16:43:04 - INFO - [federated_trainer.py:65] - [Federated][Round 43/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.165
2025-07-09 16:43:06 - INFO - [federated_trainer.py:65] - [Federated][Round 44/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.163
2025-07-09 16:43:07 - INFO - [federated_trainer.py:65] - [Federated][Round 45/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.143
2025-07-09 16:43:09 - INFO - [federated_trainer.py:65] - [Federated][Round 46/100] 客户端平均准确率: 0.980, 平均AUC: 0.999, 平均损失: 0.147
2025-07-09 16:43:11 - INFO - [federated_trainer.py:65] - [Federated][Round 47/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.153
2025-07-09 16:43:13 - INFO - [federated_trainer.py:65] - [Federated][Round 48/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.163
2025-07-09 16:43:15 - INFO - [federated_trainer.py:65] - [Federated][Round 49/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.165
2025-07-09 16:43:16 - INFO - [federated_trainer.py:65] - [Federated][Round 50/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.174
2025-07-09 16:43:18 - INFO - [federated_trainer.py:65] - [Federated][Round 51/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.178
2025-07-09 16:43:20 - INFO - [federated_trainer.py:65] - [Federated][Round 52/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.179
2025-07-09 16:43:22 - INFO - [federated_trainer.py:65] - [Federated][Round 53/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.179
2025-07-09 16:43:24 - INFO - [federated_trainer.py:65] - [Federated][Round 54/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.181
