2025-07-15 19:20:22 - INFO - [federated_trainer.py:76] - [Federated][Round 38/100] 客户端平均准确率: 0.988, 平均AUC: 0.999 平均损失: 0.055
2025-07-15 19:20:37 - INFO - [federated_trainer.py:76] - [Federated][Round 39/100] 客户端平均准确率: 0.990, 平均AUC: 0.999 平均损失: 0.052
2025-07-15 19:20:52 - INFO - [federated_trainer.py:76] - [Federated][Round 40/100] 客户端平均准确率: 0.991, 平均AUC: 0.999 平均损失: 0.048
2025-07-15 19:21:07 - INFO - [federated_trainer.py:76] - [Federated][Round 41/100] 客户端平均准确率: 0.993, 平均AUC: 0.999 平均损失: 0.039
2025-07-15 19:21:22 - INFO - [federated_trainer.py:76] - [Federated][Round 42/100] 客户端平均准确率: 0.991, 平均AUC: 0.999 平均损失: 0.039
2025-07-15 19:21:37 - INFO - [federated_trainer.py:76] - [Federated][Round 43/100] 客户端平均准确率: 0.993, 平均AUC: 0.999 平均损失: 0.035
2025-07-15 19:21:52 - INFO - [federated_trainer.py:76] - [Federated][Round 44/100] 客户端平均准确率: 0.993, 平均AUC: 0.999 平均损失: 0.036
2025-07-15 19:22:06 - INFO - [federated_trainer.py:76] - [Federated][Round 45/100] 客户端平均准确率: 0.993, 平均AUC: 0.999 平均损失: 0.035
2025-07-15 19:22:21 - INFO - [federated_trainer.py:76] - [Federated][Round 46/100] 客户端平均准确率: 0.994, 平均AUC: 0.999 平均损失: 0.035
2025-07-15 19:22:21 - INFO - [federated_trainer.py:87] - [Federated] 收敛检测：最近准确率波动未超过阈值(0.001)，提前停止训练
2025-07-15 19:22:21 - INFO - [federated_trainer.py:96] - 最终准确率: 0.994
2025-07-15 19:22:21 - INFO - [federated_trainer.py:97] - 最终AUC: 0.999
2025-07-15 19:22:21 - INFO - [main.py:142] - Federated训练完成
2025-07-15 19:22:21 - INFO - [main.py:172] - 训练总耗时: 687.04 秒
